barrio,Total,Cheat number 2,% 
AGRONOMIA,335,152,45.37313433
ALMAGRO,5390,641,11.89239332
BALVANERA,6106,662,10.84179496
BARRACAS,1455,113,7.766323024
BELGRANO,7224,242,3.349944629
BOCA,1308,171,13.0733945
BOEDO,2067,169,8.176100629
CABALLITO,6704,394,5.877088305
CHACARITA,1509,550,36.44797879
COGHLAN,1096,237,21.62408759
COLEGIALES,1894,661,34.89968321
CONSTITUCION,1636,427,26.1002445
FLORES,4715,469,9.946977731
FLORESTA,1191,163,13.68597817
LINIERS,1619,269,16.61519456
MATADEROS,1428,123,8.613445378
MONSERRAT,2620,490,18.70229008
MONTE CASTRO,832,320,38.46153846
NUÃ‘EZ,2912,405,13.90796703
NUEVA POMPEYA,440,288,65.45454545
PALERMO,15207,1431,9.410140067
PARQUE AVELLANEDA,720,321,44.58333333
PARQUE CHACABUCO,1784,329,18.44170404
PARQUE CHAS,621,269,43.31723027
PARQUE PATRICIOS,933,87,9.324758842
PATERNAL,460,81,17.60869565
PUERTO MADERO,1908,18,0.943396226
RECOLETA,8333,646,7.752310092
RETIRO,2464,763,30.96590909
SAAVEDRA,2477,126,5.086798547
SAN CRISTOBAL,2130,251,11.78403756
SAN NICOLAS,4316,343,7.947173309
SAN TELMO,2057,62,3.014098201
VELEZ SARSFIELD,907,478,52.70121279
VERSALLES,265,41,15.47169811
VILLA CRESPO,5817,531,9.12841671
VILLA DEL PARQUE,1289,151,11.71450737
VILLA DEVOTO,1717,178,10.36691904
VILLA GRAL. MITRE,1016,399,39.27165354
VILLA LUGANO,563,62,11.01243339
VILLA LURO,1142,105,9.194395797
VILLA ORTUZAR,1055,441,41.80094787
VILLA PUEYRREDON,846,94,11.11111111
VILLA REAL,197,45,22.84263959
VILLA RIACHUELO,103,78,75.72815534
VILLA SANTA RITA,827,342,41.35429262
VILLA SOLDATI,83,18,21.68674699
VILLA URQUIZA,4695,381,8.115015974
